Fecha,Exportaciones
1994-01-31,312.7059697
1994-02-28,314.7409229
1994-03-31,324.47003
1994-04-30,341.0088445
1994-05-31,380.0455224
1994-06-30,344.4028004
1994-07-31,405.8848404
1994-08-31,398.627701
1994-09-30,416.7390466
1994-10-31,381.3687266
1994-11-30,377.8949883
1994-12-31,426.2351703
1995-01-31,420.6828392
1995-02-28,447.1587037
1995-03-31,418.825017
1995-04-30,359.7704137
1995-05-31,465.2926624
1995-06-30,531.3936518
1995-07-31,490.5700637
1995-08-31,477.809722
1995-09-30,486.8425581
1995-10-31,426.1074538
1995-11-30,456.3805056
1995-12-31,510.5814607
1996-01-31,440.3790493
1996-02-29,460.7223725
1996-03-31,522.9336736
1996-04-30,432.7953426
1996-05-31,471.871313
1996-06-30,553.9781952
1996-07-31,542.5510287
1996-08-31,498.956437
1996-09-30,449.6892903
1996-10-31,478.0016045
1996-11-30,487.1814569
1996-12-31,538.5840148
1997-01-31,557.5252051
1997-02-28,494.1939143
1997-03-31,563.1093158
1997-04-30,499.5285917
1997-05-31,633.1287395
1997-06-30,725.853971
1997-07-31,597.1585999
1997-08-31,650.1026523
1997-09-30,518.6614159
1997-10-31,551.0648947
1997-11-30,473.9772241
1997-12-31,560.2524368
1998-01-31,415.3076248
1998-02-28,368.6767198
1998-03-31,413.792651
1998-04-30,397.7564471
1998-05-31,463.2891622
1998-06-30,478.2410098
1998-07-31,517.8135619
1998-08-31,536.3181928
1998-09-30,510.2043512
1998-10-31,525.244753
1998-11-30,525.1394213
1998-12-31,604.990945
1999-01-31,528.2013467
1999-02-28,420.7010444
1999-03-31,463.5255527
1999-04-30,434.8818536
1999-05-31,502.8494885
1999-06-30,471.2089665
1999-07-31,537.1423291
1999-08-31,548.3776244
1999-09-30,494.3707343
1999-10-31,545.3218701
1999-11-30,559.8052025
1999-12-31,581.1361862
2000-01-31,550.6695288
2000-02-29,526.8819721
2000-03-31,563.0762516
2000-04-30,502.3253056
2000-05-31,544.2304894
2000-06-30,608.780497
2000-07-31,629.5398791
2000-08-31,628.0471864
2000-09-30,543.1761962
2000-10-31,680.0755017
2000-11-30,547.7837389
2000-12-31,630.3229616
2001-01-31,550.6215098
2001-02-28,527.2740613
2001-03-31,535.8882256
2001-04-30,537.3806305
2001-05-31,592.8741827
2001-06-30,607.3340517
2001-07-31,707.8992414
2001-08-31,641.301665
2001-09-30,539.7218943
2001-10-31,599.3464324
2001-11-30,579.6890548
2001-12-31,606.3989886
2002-01-31,519.3711961
2002-02-28,503.9798892
2002-03-31,563.3313937
2002-04-30,537.4753415
2002-05-31,682.1651894
2002-06-30,760.6211474
2002-07-31,718.7314794
2002-08-31,721.5281755
2002-09-30,700.4994432
2002-10-31,637.6300352
2002-11-30,617.4545873
2002-12-31,751.1121222
2003-01-31,697.2217466
2003-02-28,689.9004249
2003-03-31,643.7957774
2003-04-30,643.2822117
2003-05-31,763.7649106
2003-06-30,813.7482061
2003-07-31,794.1372405
2003-08-31,768.3557528
2003-09-30,787.6249305
2003-10-31,800.6277805
2003-11-30,769.401596
2003-12-31,918.8721296
2004-01-31,880.1745524
2004-02-29,903.9941782
2004-03-31,1010.527218
2004-04-30,891.6843865
2004-05-31,988.8424768
2004-06-30,993.5654281
2004-07-31,1140.181208
2004-08-31,1155.976786
2004-09-30,1148.524348
2004-10-31,1192.142892
2004-11-30,1106.474226
2004-12-31,1397.081714
2005-01-31,1264.054016
2005-02-28,1136.996685
2005-03-31,1347.493926
2005-04-30,1257.7947
2005-05-31,1354.778682
2005-06-30,1421.94094
2005-07-31,1558.409371
2005-08-31,1491.785417
2005-09-30,1505.145959
2005-10-31,1468.871757
2005-11-30,1546.312526
2005-12-31,2014.100289
2006-01-31,1430.559044
2006-02-28,1448.149881
2006-03-31,1745.905745
2006-04-30,1821.840024
2006-05-31,1944.421948
2006-06-30,2043.003199
2006-07-31,2363.311208
2006-08-31,2018.639373
2006-09-30,2168.103852
2006-10-31,2070.539802
2006-11-30,2191.354689
2006-12-31,2584.318479
2007-01-31,1747.482809
2007-02-28,1907.756777
2007-03-31,2099.541197
2007-04-30,2119.749863
2007-05-31,2144.563295
2007-06-30,2455.693704
2007-07-31,2712.296469
2007-08-31,2373.982006
2007-09-30,2553.700443
2007-10-31,2667.958521
2007-11-30,2358.030411
2007-12-31,2953.263631
2008-01-31,2551.839914
2008-02-29,2483.052846
2008-03-31,2768.978524
2008-04-30,2692.249442
2008-05-31,2879.374663
2008-06-30,2812.696834
2008-07-31,3012.575021
2008-08-31,2875.172847
2008-09-30,2616.263686
2008-10-31,2294.75982
2008-11-30,2067.228376
2008-12-31,1964.287651
2009-01-31,1630.568677
2009-02-28,1815.173217
2009-03-31,1962.661659
2009-04-30,1789.225307
2009-05-31,2154.836299
2009-06-30,2192.336862
2009-07-31,2344.948156
2009-08-31,2332.326151
2009-09-30,2519.383151
2009-10-31,2579.051017
2009-11-30,2718.736701
2009-12-31,3031.272428
2010-01-31,2438.843321
2010-02-28,2649.190968
2010-03-31,2817.377548
2010-04-30,2671.194295
2010-05-31,2391.152686
2010-06-30,3153.32148
2010-07-31,3035.359385
2010-08-31,3035.649195
2010-09-30,3311.484414
2010-10-31,3170.407615
2010-11-30,3356.100622
2010-12-31,3772.999286
2011-01-31,2964.116729
2011-02-28,3377.975999
2011-03-31,3751.350853
2011-04-30,3417.512354
2011-05-31,4105.472571
2011-06-30,4204.127674
2011-07-31,4194.854676
2011-08-31,4554.916339
