Fecha,Desembolso
2007-05,5730247.110000072
2007-06,5653574.8400000725
2007-07,5538662.040000065
2007-08,5459529.790000072
2007-09,5469237.720000079
2007-10,5581792.910000073
2007-11,5633667.300000052
2007-12,5568802.58000005
2008-01,5780584.620000034
2008-02,6053289.050000003
2008-03,6154723.309999992
2008-04,6270451.2100000065
2008-05,6475064.4700000165
2008-06,6519863.819999998
2008-07,6477754.390000007
2008-08,6753293.74
2008-09,7008222.239999981
2008-10,7173079.559999963
2008-11,7300670.629999973
2008-12,7364664.729999969
2009-01,7496743.189999968
2009-02,7456864.39999997
2009-03,7507599.469999969
2009-04,7589815.3499999745
2009-05,7548336.399999988
2009-06,7641565.4899999965
2009-07,7649256.499999986
2009-08,7694574.749999998
2009-09,7764951.440000008
2009-10,7713995.759999995
2009-11,7658401.029999998
2009-12,7276253.679999999
2010-01,7503490.889999998
2010-02,7669874.4200000055
2010-03,7836026.940000026
2010-04,7910889.650000037
2010-05,7832974.520000018
2010-06,7864782.110000016
2010-07,7683555.87000001
2010-08,7828240.200000009
2010-09,7845728.300000022
2010-10,7756956.730000019
2010-11,7893765.360000012
2010-12,7763073.229999997
2011-01,7877767.409999991
2011-02,8040150.2700000135
2011-03,8074583.400000013
2011-04,8009542.05999996
2011-05,8069776.469999912
2011-06,8312329.039999838
2011-07,8174371.999999819
2011-08,8528111.529999753
2011-09,8864951.829999726
2011-10,8895022.179999713
2011-11,9159967.229999729
2011-12,9049101.759999767
2012-01,9099990.809999796
2012-02,9419795.29999981
2012-03,9716782.119999802
2012-04,9901351.48999982
2012-05,10480349.879999809
2012-06,11111261.419999857
2012-07,11121475.229999853
2012-08,11679978.679999871
2012-09,11418281.679999843
2012-10,10521850.209999815
2012-11,10354493.809999807
2012-12,10088027.049999822
2013-01,10475308.629999835
2013-02,11008733.759999884
2013-03,10560308.469999889
2013-04,10022406.389999919
2013-05,9702635.939999925
2013-06,9574993.639999937
2013-07,8944459.07999991
2013-08,8695109.649999905
2013-09,8425157.479999902
2013-10,8261526.789999904
2013-11,8186279.349999908
2013-12,7819189.969999927
2014-01,8059542.489999918
2014-02,8270990.819999903
2014-03,8128104.939999901
2014-04,8324832.849999878
2014-05,8609992.059999874
2014-06,8770247.879999883
2014-07,8389429.309999872
2014-08,8466695.649999883
2014-09,8620557.559999885
2014-10,9040059.64999988
2014-11,9176582.549999882
2014-12,8801959.689999837
2015-01,8903640.979999851
2015-02,8927018.299999854
2015-03,8900969.999999847
2015-04,8973052.78999985
2015-05,8940662.189999852
2015-06,9020860.759999845
2015-07,8817552.339999855
2015-08,9094419.029999867
2015-09,9077557.239999864
2015-10,9136224.08999988
2015-11,9079039.539999878
2015-12,8684817.469999848
2016-01,8943220.389999874
2016-02,9107632.599999871
2016-03,9111669.209999863
2016-04,9202424.119999856
2016-05,9021360.909999855
2016-06,8909786.17999986
2016-07,8796636.21999986
2016-08,8567062.54999985
2016-09,8634519.03999986
2016-10,8706096.789999861
2016-11,8658748.789999845
2016-12,8348248.469999831
2017-01,8311053.789999839
2017-02,8551834.649999846
2017-03,8455970.439999828
2017-04,8409055.979999818
2017-05,8165527.87999982
2017-06,8146871.129999819
2017-07,8137341.969999822
2017-08,8263508.369999817
2017-09,8229670.579999815
2017-10,8280362.889999807
2017-11,8245605.359999814
2017-12,8154780.779999825
2018-01,8519324.059999838
2018-02,8979419.079999864
2018-03,8852483.449999845
2018-04,8826254.049999848
2018-05,9363145.259999875
2018-06,9530239.41999988
2018-07,8949856.199999837
2018-08,8714403.299999835
2018-09,8879486.939999837
2018-10,9098120.969999861
2018-11,9171547.789999854
2018-12,8851999.09999983
2019-01,9148226.269999854
2019-02,9499865.219999878
2019-03,9385528.739999862
2019-04,9562503.029999882
2019-05,9479938.699999874
2019-06,9574989.809999904
2019-07,9190529.429999858
2019-08,9462968.64999989
2019-09,9554313.569999907
2019-10,9556565.969999908
2019-11,9441412.01999989
2019-12,9220286.459999872
